Stock,Date ,Date
SEED,1 for 10 ,7/10/2018
SEF,1 for 2 ,5/24/2018
SELB,1 for 8 ,6/22/1998
SES,1 for 8 ,7/22/2019
SFE,1 for 6 ,8/27/2009
SFUN,1 for 5 ,7/8/2019
SGA,1 for 4 ,1/29/2009
SGBX,1 for 20 ,2/6/2020
SGLB,1 for 2 ,2/15/2017
SGOC,1 for 4 ,1/25/2016
SH,1 for 2 ,6/24/2016
SHIP,1 for 15 ,3/20/2019
SHM,1 for 2 ,3/15/2016
SIEB,1 for 7 ,11/12/1996
SIG,1 for 2 ,9/11/2008
SIJ,1 for 4 ,1/24/2014
SIL,1 for 3 ,11/18/2015
SIVR,1000 for 3816 ,8/2/2000
SKF,1 for 4 ,11/6/2014
SLNO,1 for 5 ,10/6/2017
SLS,1 for 50 ,11/8/2019
SLT,1 for 5 ,3/19/2003
SMDD,1 for 4 ,1/24/2014
SMFG,1 for 2 ,11/1/2010
SMN,1 for 2 ,5/24/2018
SMPL,7194 for 10000 ,11/19/2010
SMSI,1 for 4 ,8/17/2016
SNES,1 for 20 ,2/5/2020
SNOA,1 for 9 ,6/20/2019
SNSS,1 for 6 ,9/8/2016
SNV,1 for 7 ,5/19/2014
SOFO,1 for 10 ,11/17/2009
SOL,1 for 5 ,2/10/2017
SOXS,1 for 10 ,6/28/2019
SPB,162 for 1000 ,7/16/2018
SPI,1 for 10 ,11/16/2018
SPRT,1 for 3 ,1/20/2017
SPXS,1 for 5 ,5/1/2017
SPXU,1 for 4 ,5/24/2018
SQNS,1 for 4 ,11/29/2019
SQQQ,1 for 4 ,5/24/2019
SR,1 for 5 ,5/10/2013
SRC,1 for 5 ,12/13/2018
SRF,1 for 5 ,9/14/2015
SRPT,1 for 6 ,7/12/2012
SRRA,1 for 40 ,1/23/2020
SRS,1 for 4 ,5/20/2015
SRTY,1 for 4 ,1/12/2017
SRV,1 for 5 ,9/14/2015
SSG,1 for 2 ,5/24/2019
SSKN,1 for 5 ,4/7/2017
SSP,1 for 3 ,7/16/2008
STAA,1 for 2 ,5/18/1992
STAF,1 for 5 ,1/4/2018
STK,1 for 10 ,5/23/1989
STNG,1 for 10 ,1/18/2019
STRI,1 for 3 ,2/2/2015
STRS,1 for 2 ,5/29/2001
STXS,1 for 10 ,7/11/2012
SUMR,1 for 9 ,3/16/2020
SUNW,1 for 7 ,8/30/2019
SURG,1 for 40 ,10/7/2002
SUSA,1 for 1000 ,4/23/2012
SYBX,1 for 7 ,8/28/2017
SYN,1 for 35 ,8/13/2018
SYPR,1 for 4 ,3/30/1998
SZK,1 for 4 ,10/5/2012
T,24875 for 50000 ,11/18/2002
TA,1 for 5 ,8/1/2019
TAN,1 for 10 ,2/15/2012
TAT,1 for 10 ,3/7/2014
TATT,1 for 2 ,5/1/1998
TBT,1 for 4 ,10/5/2012
TCF,1 for 3 ,12/27/2004
TCON,1 for 10 ,11/8/2019
TCX,1 for 4 ,12/31/2013
TDW,31 for 1000 ,8/1/2017
TEAR,1 for 10 ,2/27/2017
TECS,1 for 5 ,3/29/2018
TENX,1 for 20 ,2/26/2018
TEUM,1 for 25 ,2/27/2017
TFI,1 for 2 ,3/15/2016
TGC,1 for 10 ,3/24/2016
TGTX,1 for 50 ,7/14/2011
THC,1 for 4 ,10/11/2012
THM,1 for 5 ,1/5/1998
TKC,1 for 10 ,10/4/2001
TMUS,1 for 2 ,5/1/2013
TMV,1 for 5 ,11/10/2011
TNDM,1 for 10 ,10/10/2017
TNK,1 for 8 ,11/25/2019
TNXP,1 for 10 ,11/1/2019
TOPS,1 for 20 ,8/22/2019
TRMD,1 for 10 ,11/27/2012
TRNX,1 for 5 ,8/26/2019
TROV,1 for 6 ,2/20/2019
TRXC,1 for 13 ,12/12/2019
TSEM,1 for 15 ,8/6/2012
TTNP,1 for 6 ,1/25/2019
TTPH,1 for 20 ,9/27/2019
TTT,1 for 4 ,6/10/2013
TWLO,1 for 20 ,12/12/2007
TWM,1 for 4 ,1/24/2014
TWMC,1 for 20 ,8/15/2019
TWO,1221 for 2000 ,11/2/2017
TZA,1 for 5 ,6/28/2019
UAL,1 for 2 ,7/13/1994
UBR,1 for 3 ,11/13/2015
UCBI,1 for 5 ,6/20/2011
UCO,1 for 2 ,1/12/2017
UFI,1 for 3 ,11/4/2010
UFS,1 for 12 ,6/11/2009
UIS,1 for 10 ,10/26/2009
UMC,69716 for 100000 ,10/9/2007
UNG,1 for 4 ,1/5/2018
URA,1 for 2 ,11/18/2015
URE,1 for 5 ,4/15/2010
USAT,1 for 100 ,2/17/2006
USAU,1 for 10 ,3/20/2020
USEG,1 for 10 ,1/6/2020
UTSI,1 for 3 ,3/22/2013
UVXY,1 for 5 ,9/18/2018
UYG,1 for 10 ,4/15/2010
V,1 for 5 ,12/11/2000
VBFC,1 for 16 ,8/8/2014
VBIV,1 for 5 ,7/29/2014
VIV,1 for 4 ,10/17/2008
VIXY,1 for 4 ,7/17/2017
VLT,1 for 5 ,5/26/2009
VNCE,1 for 10 ,10/24/2017
VOD,4905 for 5000 ,2/24/2014
VOO,1 for 2 ,10/24/2013
VRA,1 for 10 ,6/15/2004
VRTA,1 for 4 ,12/8/2014
VRTB,1 for 1000 ,3/30/2017
VTNR,1 for 10 ,5/4/2009
VTR,8757 for 10000 ,8/18/2015
VVUS,1 for 10 ,9/11/2018
VWOB,1 for 20 ,11/19/2001
VXX,1 for 4 ,8/23/2017
WF,839 for 1000 ,5/22/2014
WH,1 for 5 ,2/15/2012
WHLR,1 for 8 ,4/3/2017
WLL,1 for 4 ,11/9/2017
WSTL,1 for 4 ,6/8/2017
WWR,1 for 50 ,4/23/2019
XBIO,1 for 12 ,6/25/2019
XES,1 for 10 ,3/30/2020
XOMA,1 for 20 ,10/18/2016
XOP,1 for 4 ,3/30/2020
XPO,1 for 4 ,9/2/2011
XRX,1 for 4 ,6/15/2017
XSPA,1 for 20 ,2/25/2019
XTNT,1 for 12 ,2/14/2018
YANG,1 for 10 ,3/29/2018
YTEN,1 for 40 ,1/16/2020
YUMA,1 for 15 ,7/3/2019
ZGNX,1 for 8 ,7/1/2015
ZSAN,1 for 20 ,1/26/2018
ZTR,1 for 4 ,6/27/2012
